Package,LibPath,Version,Priority,Built
acepack,/Users/jds/Library/R/3.4/library,1.4.1,NA,3.4.0
acs,/Users/jds/Library/R/3.4/library,2.1.2,NA,3.4.2
ada,/Users/jds/Library/R/3.4/library,2.0-5,NA,3.4.0
addinslist,/Users/jds/Library/R/3.4/library,0.2,NA,3.4.0
Amelia,/Users/jds/Library/R/3.4/library,1.7.4,NA,3.4.0
anytime,/Users/jds/Library/R/3.4/library,0.3.0,NA,3.4.0
assertive,/Users/jds/Library/R/3.4/library,0.3-5,NA,3.4.0
assertive.base,/Users/jds/Library/R/3.4/library,0.0-7,NA,3.4.0
assertive.code,/Users/jds/Library/R/3.4/library,0.0-1,NA,3.4.0
assertive.data,/Users/jds/Library/R/3.4/library,0.0-1,NA,3.4.0
assertive.data.uk,/Users/jds/Library/R/3.4/library,0.0-1,NA,3.4.0
assertive.data.us,/Users/jds/Library/R/3.4/library,0.0-1,NA,3.4.0
assertive.datetimes,/Users/jds/Library/R/3.4/library,0.0-2,NA,3.4.0
assertive.files,/Users/jds/Library/R/3.4/library,0.0-2,NA,3.4.0
assertive.matrices,/Users/jds/Library/R/3.4/library,0.0-1,NA,3.4.0
assertive.models,/Users/jds/Library/R/3.4/library,0.0-1,NA,3.4.0
assertive.numbers,/Users/jds/Library/R/3.4/library,0.0-2,NA,3.4.0
assertive.properties,/Users/jds/Library/R/3.4/library,0.0-4,NA,3.4.0
assertive.reflection,/Users/jds/Library/R/3.4/library,0.0-4,NA,3.4.0
assertive.sets,/Users/jds/Library/R/3.4/library,0.0-3,NA,3.4.0
assertive.strings,/Users/jds/Library/R/3.4/library,0.0-3,NA,3.4.0
assertive.types,/Users/jds/Library/R/3.4/library,0.0-3,NA,3.4.0
assertthat,/Users/jds/Library/R/3.4/library,0.2.0,NA,3.4.0
backports,/Users/jds/Library/R/3.4/library,1.1.2,NA,3.4.3
base64,/Users/jds/Library/R/3.4/library,2.0,NA,3.4.0
base64enc,/Users/jds/Library/R/3.4/library,0.1-3,NA,3.4.0
BH,/Users/jds/Library/R/3.4/library,1.65.0-1,NA,3.4.1
BHH2,/Users/jds/Library/R/3.4/library,2016.05.31,NA,3.4.0
bindr,/Users/jds/Library/R/3.4/library,0.1,NA,3.4.0
bindrcpp,/Users/jds/Library/R/3.4/library,0.2,NA,3.4.0
binman,/Users/jds/Library/R/3.4/library,0.1.0,NA,3.4.0
bit,/Users/jds/Library/R/3.4/library,1.1-12,NA,3.4.0
bit64,/Users/jds/Library/R/3.4/library,0.9-7,NA,3.4.0
bitops,/Users/jds/Library/R/3.4/library,1.0-6,NA,3.4.0
blob,/Users/jds/Library/R/3.4/library,1.1.0,NA,3.4.0
blogdown,/Users/jds/Library/R/3.4/library,0.4,NA,3.4.3
bookdown,/Users/jds/Library/R/3.4/library,0.5,NA,3.4.1
brew,/Users/jds/Library/R/3.4/library,1.0-6,NA,3.4.0
broom,/Users/jds/Library/R/3.4/library,0.4.3,NA,3.4.2
callr,/Users/jds/Library/R/3.4/library,1.0.0.9000,NA,3.4.3
car,/Users/jds/Library/R/3.4/library,2.1-6,NA,3.4.3
caret,/Users/jds/Library/R/3.4/library,6.0-78,NA,3.4.3
caTools,/Users/jds/Library/R/3.4/library,1.17.1,NA,3.4.0
cellranger,/Users/jds/Library/R/3.4/library,1.1.0,NA,3.4.0
cfhttr,/Users/jds/Library/R/3.4/library,0.1.0,NA,3.4.2
checkmate,/Users/jds/Library/R/3.4/library,1.8.5,NA,3.4.2
choroplethr,/Users/jds/Library/R/3.4/library,3.6.1,NA,3.4.0
choroplethrMaps,/Users/jds/Library/R/3.4/library,1.0.1,NA,3.4.0
chron,/Users/jds/Library/R/3.4/library,2.3-52,NA,3.4.3
ckanr,/Users/jds/Library/R/3.4/library,0.1.0,NA,3.4.0
class,/Users/jds/Library/R/3.4/library,7.3-14,recommended,3.4.0
classInt,/Users/jds/Library/R/3.4/library,0.1-24,NA,3.4.0
cli,/Users/jds/Library/R/3.4/library,1.0.0,NA,3.4.2
clipr,/Users/jds/Library/R/3.4/library,0.4.0,NA,3.4.2
clisymbols,/Users/jds/Library/R/3.4/library,1.2.0,NA,3.4.0
cluster,/Users/jds/Library/R/3.4/library,2.0.6,recommended,3.4.0
coda,/Users/jds/Library/R/3.4/library,0.19-1,NA,3.4.0
colformat,/Users/jds/Library/R/3.4/library,0.0.0.9000,NA,3.4.0
colorspace,/Users/jds/Library/R/3.4/library,1.3-2,NA,3.4.0
colourpicker,/Users/jds/Library/R/3.4/library,1.0,NA,3.4.2
commonmark,/Users/jds/Library/R/3.4/library,1.4,NA,3.4.1
copydat,/Users/jds/Library/R/3.4/library,0.1,NA,3.4.0
CRANsearcher,/Users/jds/Library/R/3.4/library,1.0.0,NA,3.4.0
crayon,/Users/jds/Library/R/3.4/library,1.3.4,NA,3.4.1
cronR,/Users/jds/Library/R/3.4/library,0.3.0,NA,3.4.0
crosstalk,/Users/jds/Library/R/3.4/library,1.0.0,NA,3.4.0
csvy,/Users/jds/Library/R/3.4/library,0.1.3,NA,3.4.0
curl,/Users/jds/Library/R/3.4/library,3.1,NA,3.4.3
CVST,/Users/jds/Library/R/3.4/library,0.2-1,NA,3.4.0
data.table,/Users/jds/Library/R/3.4/library,1.10.4-3,NA,3.4.2
datapasta,/Users/jds/Library/R/3.4/library,2.0.0,NA,3.4.0
DBI,/Users/jds/Library/R/3.4/library,0.7,NA,3.4.0
dbplyr,/Users/jds/Library/R/3.4/library,1.2.0,NA,3.4.3
ddalpha,/Users/jds/Library/R/3.4/library,1.3.1,NA,3.4.2
debugme,/Users/jds/Library/R/3.4/library,1.1.0,NA,3.4.2
DEoptimR,/Users/jds/Library/R/3.4/library,1.0-8,NA,3.4.0
desc,/Users/jds/Library/R/3.4/library,1.1.1,NA,3.4.1
devtools,/Users/jds/Library/R/3.4/library,1.13.4,NA,3.4.2
dichromat,/Users/jds/Library/R/3.4/library,2.0-0,NA,3.4.0
digest,/Users/jds/Library/R/3.4/library,0.6.14,NA,3.4.3
dimRed,/Users/jds/Library/R/3.4/library,0.1.0,NA,3.4.0
directlabels,/Users/jds/Library/R/3.4/library,2017.03.31,NA,3.4.0
docker,/Users/jds/Library/R/3.4/library,0.0.2,NA,3.4.1
dplyr,/Users/jds/Library/R/3.4/library,0.7.4,NA,3.4.2
DRR,/Users/jds/Library/R/3.4/library,0.0.3,NA,3.4.3
DT,/Users/jds/Library/R/3.4/library,0.3,NA,3.4.3
dtplyr,/Users/jds/Library/R/3.4/library,0.0.2,NA,3.4.0
e1071,/Users/jds/Library/R/3.4/library,1.6-8,NA,3.4.0
enc,/Users/jds/Library/R/3.4/library,0.1,NA,3.4.2
english,/Users/jds/Library/R/3.4/library,1.1-2,NA,3.4.0
evaluate,/Users/jds/Library/R/3.4/library,0.10.1,NA,3.4.1
evd,/Users/jds/Library/R/3.4/library,2.3-2,NA,3.4.0
extrafont,/Users/jds/Library/R/3.4/library,0.17,NA,3.4.0
extrafontdb,/Users/jds/Library/R/3.4/library,1.0,NA,3.4.0
fastmatch,/Users/jds/Library/R/3.4/library,1.1-0,NA,3.4.0
ff,/Users/jds/Library/R/3.4/library,2.2-13,NA,3.4.0
ffbase,/Users/jds/Library/R/3.4/library,0.12.3,NA,3.4.0
fivethirtyeight,/Users/jds/Library/R/3.4/library,0.3.0,NA,3.4.1
forcats,/Users/jds/Library/R/3.4/library,0.2.0,NA,3.4.0
foreach,/Users/jds/Library/R/3.4/library,1.4.4,NA,3.4.3
foreign,/Users/jds/Library/R/3.4/library,0.8-69,recommended,3.4.1
formatR,/Users/jds/Library/R/3.4/library,1.5,NA,3.4.0
Formula,/Users/jds/Library/R/3.4/library,1.2-2,NA,3.4.0
fs,/Users/jds/Library/R/3.4/library,1.1.0,NA,3.4.3
gapminder,/Users/jds/Library/R/3.4/library,0.3.0,NA,3.4.2
gdalUtils,/Users/jds/Library/R/3.4/library,2.0.1.7,NA,3.4.0
geosphere,/Users/jds/Library/R/3.4/library,1.5-7,NA,3.4.2
getPass,/Users/jds/Library/R/3.4/library,0.2-2,NA,3.4.1
ggedit,/Users/jds/Library/R/3.4/library,0.2.1,NA,3.4.0
ggmap,/Users/jds/Library/R/3.4/library,2.6.1,NA,3.4.0
ggplot2,/Users/jds/Library/R/3.4/library,2.2.1.9000,NA,3.4.3
ggplot2movies,/Users/jds/Library/R/3.4/library,0.0.1,NA,3.4.0
ggridges,/Users/jds/Library/R/3.4/library,0.4.1,NA,3.4.1
ggThemeAssist,/Users/jds/Library/R/3.4/library,0.1.5,NA,3.4.0
ggthemes,/Users/jds/Library/R/3.4/library,3.4.0,NA,3.4.0
gh,/Users/jds/Library/R/3.4/library,1.0.1,NA,3.4.3
ghit,/Users/jds/Library/R/3.4/library,0.2.18,NA,3.4.1
gistr,/Users/jds/Library/R/3.4/library,0.4.0,NA,3.4.0
git2r,/Users/jds/Library/R/3.4/library,0.21.0,NA,3.4.3
glue,/Users/jds/Library/R/3.4/library,1.2.0,NA,3.4.2
gmailr,/Users/jds/Library/R/3.4/library,0.7.1,NA,3.4.0
googledrive,/Users/jds/Library/R/3.4/library,0.1.1,NA,3.4.1
googlesheets,/Users/jds/Library/R/3.4/library,0.2.2,NA,3.4.0
gower,/Users/jds/Library/R/3.4/library,0.1.2,NA,3.4.0
gridExtra,/Users/jds/Library/R/3.4/library,2.3,NA,3.4.1
gsubfn,/Users/jds/Library/R/3.4/library,0.6-6,NA,3.4.0
gtable,/Users/jds/Library/R/3.4/library,0.2.0,NA,3.4.0
gutenbergr,/Users/jds/Library/R/3.4/library,0.1.3,NA,3.4.1
harbor,/Users/jds/Library/R/3.4/library,0.2.0,NA,3.4.0
HARtools,/Users/jds/Library/R/3.4/library,0.0.5,NA,3.4.0
haven,/Users/jds/Library/R/3.4/library,1.1.1,NA,3.4.3
here,/Users/jds/Library/R/3.4/library,0.1,NA,3.4.0
hexbin,/Users/jds/Library/R/3.4/library,1.27.2,NA,3.4.3
hflights,/Users/jds/Library/R/3.4/library,0.1,NA,3.4.0
highlight,/Users/jds/Library/R/3.4/library,0.4.7.2,NA,3.4.2
highlite,/Users/jds/Library/R/3.4/library,0.0.0.9000,NA,3.4.3
highr,/Users/jds/Library/R/3.4/library,0.6,NA,3.4.0
Hmisc,/Users/jds/Library/R/3.4/library,4.1-1,NA,3.4.3
hms,/Users/jds/Library/R/3.4/library,0.4.0,NA,3.4.3
hrbraddins,/Users/jds/Library/R/3.4/library,0.2.0,NA,3.4.2
hrbrthemes,/Users/jds/Library/R/3.4/library,0.2.0,NA,3.4.0
htmlTable,/Users/jds/Library/R/3.4/library,1.11.2,NA,3.4.3
htmltools,/Users/jds/Library/R/3.4/library,0.3.6,NA,3.4.0
htmlwidgets,/Users/jds/Library/R/3.4/library,1.0,NA,3.4.3
httpuv,/Users/jds/Library/R/3.4/library,1.3.5,NA,3.4.1
httr,/Users/jds/Library/R/3.4/library,1.3.1,NA,3.4.1
hunspell,/Users/jds/Library/R/3.4/library,2.9,NA,3.4.3
infer,/Users/jds/Library/R/3.4/library,0.1.1,NA,3.4.3
ini,/Users/jds/Library/R/3.4/library,0.3.0,NA,3.4.2
inline,/Users/jds/Library/R/3.4/library,0.3.14,NA,3.4.0
ipred,/Users/jds/Library/R/3.4/library,0.9-6,NA,3.4.0
ISOcodes,/Users/jds/Library/R/3.4/library,2017.09.27,NA,3.4.2
iterators,/Users/jds/Library/R/3.4/library,1.0.9,NA,3.4.3
janeaustenr,/Users/jds/Library/R/3.4/library,0.1.5,NA,3.4.0
janitor,/Users/jds/Library/R/3.4/library,0.3.1,NA,3.4.3
jose,/Users/jds/Library/R/3.4/library,0.1,NA,3.4.0
jpeg,/Users/jds/Library/R/3.4/library,0.1-8,NA,3.4.0
jsonlite,/Users/jds/Library/R/3.4/library,1.5,NA,3.4.0
kernlab,/Users/jds/Library/R/3.4/library,0.9-25,NA,3.4.0
keyring,/Users/jds/Library/R/3.4/library,1.0.0,NA,3.4.1
knitr,/Users/jds/Library/R/3.4/library,1.18,NA,3.4.3
labeling,/Users/jds/Library/R/3.4/library,0.3,NA,3.4.0
Lahman,/Users/jds/Library/R/3.4/library,6.0-0,NA,3.4.1
latticeExtra,/Users/jds/Library/R/3.4/library,0.6-28,NA,3.4.0
lava,/Users/jds/Library/R/3.4/library,1.6,NA,3.4.3
lazyeval,/Users/jds/Library/R/3.4/library,0.2.1,NA,3.4.2
limoaddin,/Users/jds/Library/R/3.4/library,0.9,NA,3.4.0
listviewer,/Users/jds/Library/R/3.4/library,1.4.0,NA,3.4.0
lme4,/Users/jds/Library/R/3.4/library,1.1-15,NA,3.4.3
loo,/Users/jds/Library/R/3.4/library,1.1.0,NA,3.4.0
lookup,/Users/jds/Library/R/3.4/library,0.0.0.9000,NA,3.4.3
lubridate,/Users/jds/Library/R/3.4/library,1.7.1,NA,3.4.2
magick,/Users/jds/Library/R/3.4/library,1.6,NA,3.4.3
magrittr,/Users/jds/Library/R/3.4/library,1.5,NA,3.4.0
mapproj,/Users/jds/Library/R/3.4/library,1.2-5,NA,3.4.0
maps,/Users/jds/Library/R/3.4/library,3.2.0,NA,3.4.0
maptools,/Users/jds/Library/R/3.4/library,0.9-2,NA,3.4.0
markdown,/Users/jds/Library/R/3.4/library,0.8,NA,3.4.0
MASS,/Users/jds/Library/R/3.4/library,7.3-48,recommended,3.4.3
MatrixModels,/Users/jds/Library/R/3.4/library,0.4-1,NA,3.4.0
matrixStats,/Users/jds/Library/R/3.4/library,0.52.2,NA,3.4.0
memoise,/Users/jds/Library/R/3.4/library,1.1.0,NA,3.4.3
mgcv,/Users/jds/Library/R/3.4/library,1.8-23,recommended,3.4.3
mime,/Users/jds/Library/R/3.4/library,0.5,NA,3.4.0
miniUI,/Users/jds/Library/R/3.4/library,0.1.1,NA,3.4.0
minqa,/Users/jds/Library/R/3.4/library,1.2.4,NA,3.4.0
mnormt,/Users/jds/Library/R/3.4/library,1.5-5,NA,3.4.0
ModelMetrics,/Users/jds/Library/R/3.4/library,1.1.0,NA,3.4.0
modelr,/Users/jds/Library/R/3.4/library,0.1.1,NA,3.4.1
munsell,/Users/jds/Library/R/3.4/library,0.4.3,NA,3.4.0
mvtnorm,/Users/jds/Library/R/3.4/library,1.0-6,NA,3.4.0
NCmisc,/Users/jds/Library/R/3.4/library,1.1.5,NA,3.4.0
ndjson,/Users/jds/Library/R/3.4/library,0.5.0,NA,3.4.1
nlme,/Users/jds/Library/R/3.4/library,3.1-131,recommended,3.4.0
nloptr,/Users/jds/Library/R/3.4/library,1.0.4,NA,3.4.0
nnet,/Users/jds/Library/R/3.4/library,7.3-12,recommended,3.4.0
numDeriv,/Users/jds/Library/R/3.4/library,2016.8-1,NA,3.4.0
nycflights13,/Users/jds/Library/R/3.4/library,0.2.2,NA,3.4.0
okcupiddata,/Users/jds/Library/R/3.4/library,0.1.0,NA,3.4.0
oldbookdown,/Users/jds/Library/R/3.4/library,0.1,NA,3.4.0
